id,name,default_unit_id,units_convertible,units,qudt_type
20,Reactive Power,25.0,True,"[{'id': 25, 'name_long': 'Kilovolt Amperes Reactive', 'name_abbr': 'kVAR', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloV-A_Reactive', 'unit_type': 'http://qudt.org/vocab/quantitykind/ReactivePower'}]",http://qudt.org/vocab/quantitykind/ReactivePower
27,Floor,32.0,True,"[{'id': 32, 'name_long': 'Floor', 'name_abbr': 'Floor', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 38, 'name_long': 'Power Factor', 'name_abbr': 'pf', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 13, 'name_long': 'Stage Number', 'name_abbr': 'Stage', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 73, 'name_long': 'Number', 'name_abbr': 'num', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 87, 'name_long': 'Pulse', 'name_abbr': 'pulse', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}]",http://qudt.org/vocab/quantitykind/Dimensionless
33,Power Factor,38.0,True,"[{'id': 32, 'name_long': 'Floor', 'name_abbr': 'Floor', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 38, 'name_long': 'Power Factor', 'name_abbr': 'pf', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 13, 'name_long': 'Stage Number', 'name_abbr': 'Stage', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/UNITLESS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 73, 'name_long': 'Number', 'name_abbr': 'num', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 87, 'name_long': 'Pulse', 'name_abbr': 'pulse', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}]",http://qudt.org/vocab/quantitykind/Dimensionless
34,Reactive Energy,39.0,True,"[{'id': 41, 'name_long': 'Kilo Volt amp reactive hours', 'name_abbr': 'kVARh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloV-A_Reactive-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 16, 'name_long': 'Kilowatt Hours', 'name_abbr': 'kWh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloW-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 14, 'name_long': 'British Thermal Unit', 'name_abbr': 'BTU', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/BTU_IT', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 37, 'name_long': 'Volt amp hours', 'name_abbr': 'VAh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/V-A-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 39, 'name_long': 'Volt amp reactive hours', 'name_abbr': 'VARh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/V-A_Reactive-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 40, 'name_long': 'Watt hours', 'name_abbr': 'Wh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/W-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 45, 'name_long': 'Joule', 'name_abbr': 'J', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/J', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 47, 'name_long': 'Kilovolt ampere hours', 'name_abbr': 'kVAh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloV-A-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 78, 'name_long': 'Megawatt Hours', 'name_abbr': 'mWh', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/MegaW-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 81, 'name_long': 'Kilo Joule', 'name_abbr': 'kJ', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloJ', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 61, 'name_long': 'Mega Joule', 'name_abbr': 'MJ', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/MegaJ', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 70, 'name_long': 'US Therm', 'name_abbr': 'thm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/THM_US', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 82, 'name_long': 'Giga Joule', 'name_abbr': 'GJ', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/GigaJ', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 83, 'name_long': 'Normal Cubic Meter', 'name_abbr': 'nm3', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NM3-NAT-GAS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 84, 'name_long': 'Standard Cubic Meter', 'name_abbr': 'SCM', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/SCM-NAT-GAS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}, {'id': 85, 'name_long': 'Standard Cubic Foot', 'name_abbr': 'SFt3', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/SFT3-NAT-GAS', 'unit_type': 'http://qudt.org/vocab/quantitykind/Energy'}]",http://qudt.org/vocab/quantitykind/Energy
18,Unknown,,False,[],
2,Humidity,3.0,True,"[{'id': 10, 'name_long': 'Parts per Million', 'name_abbr': 'ppm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PPM', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}, {'id': 3, 'name_long': 'Percent', 'name_abbr': '%', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PERCENT', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}]",http://qudt.org/vocab/quantitykind/DimensionlessRatio
13,Power,17.0,True,"[{'id': 15, 'name_long': 'British Thermal Unit/hour', 'name_abbr': 'BTU/hr', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/BTU_IT-PER-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/Power'}, {'id': 17, 'name_long': 'Kilowatts', 'name_abbr': 'kW', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloW', 'unit_type': 'http://qudt.org/vocab/quantitykind/Power'}, {'id': 33, 'name_long': 'Tons of Refrigeration', 'name_abbr': 'tons', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/TON_FG', 'unit_type': 'http://qudt.org/vocab/quantitykind/Power'}, {'id': 76, 'name_long': 'Watts', 'name_abbr': 'w', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/W', 'unit_type': 'http://qudt.org/vocab/quantitykind/Power'}]",http://qudt.org/vocab/quantitykind/Power
21,Apparent Power,26.0,True,"[{'id': 26, 'name_long': 'Kilovolt Amperes', 'name_abbr': 'kVA', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/KiloV-A', 'unit_type': 'http://qudt.org/vocab/quantitykind/ApparentPower'}]",http://qudt.org/vocab/quantitykind/ApparentPower
5,Water Flow,8.0,True,"[{'id': 7, 'name_long': 'Cubic Foot per Minute', 'name_abbr': 'cfm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/FT3-PER-MIN', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}, {'id': 8, 'name_long': 'Gallons per Minute', 'name_abbr': 'gpm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/GAL_UK-PER-MIN', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}, {'id': 57, 'name_long': 'Cubic Meter per Second', 'name_abbr': 'm3/s', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/M3-PER-SEC', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}, {'id': 80, 'name_long': 'Litre per Hour', 'name_abbr': 'L/h', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/L-PER-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}, {'id': 58, 'name_long': 'Litre Per Second', 'name_abbr': 'L/s', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/L-PER-SEC', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}, {'id': 77, 'name_long': 'Cubic Meter per Hour', 'name_abbr': 'm3/h', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/M3-PER-HR', 'unit_type': 'http://qudt.org/vocab/quantitykind/VolumePerUnitTime'}]",http://qudt.org/vocab/quantitykind/VolumePerUnitTime
52,Illuminance,63.0,True,"[{'id': 63, 'name_long': 'Lux', 'name_abbr': 'lx', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/LUX', 'unit_type': 'http://qudt.org/vocab/quantitykind/LuminousFluxPerArea'}]",http://qudt.org/vocab/quantitykind/LuminousFluxPerArea
